crop,disease,compound,trade_name,dosage,method,pre_harvest_interval_days,dose_verified,phi_verified,phi_status,phi_source
paddy,brown_plant_hopper,buprofezin,Applaud 10 WP,1.0 g per litre water; apply 400-500 L spray solution per hectare,foliar spray directed at the base of the plants,14,False,True,verified,mymrl.doa.gov.my/AIs/18
paddy,brown_plant_hopper,pymetrozine,Plenum 50 WG,0.3 g per litre water; apply 400-500 L spray solution per hectare,foliar spray,21,False,False,unverified,
paddy,false_smut,propiconazole 250 g/L EC,Tilt 250 EC,1 ml per litre water (approx. 0.5 L product per hectare),foliar spray,35,False,True,verified,mymrl.doa.gov.my/AIs/100
paddy,false_smut,hexaconazole 50 g/L SC,Anvil 5SC,2 ml per litre water (approx. 1 L product per hectare),foliar spray,21,False,False,unverified,
paddy,rice_blast,Tricyclazole,Beam 75WP,0.5g per litre water,foliar spray,30,False,True,verified,mymrl.doa.gov.my/AIs/121
paddy,rice_blast,Isoprothiolane,Fuji-One 40EC,1.5ml per litre water,foliar spray,14,False,True,verified,mymrl.doa.gov.my/AIs/135
paddy,rice_blast,Azoxystrobin,Amistar 25SC,1ml per litre water,foliar spray,14,False,True,verified,mymrl.doa.gov.my/AIs/10
paddy,rice_tungro,imidacloprid,Confidor 200SL,0.5 mL per litre water,foliar spray (targets green leafhopper vector; no chemical cures the virus),14,False,False,unverified,
paddy,rice_tungro,buprofezin,Applaud 10WP,0.5-1.0 g per litre water,foliar spray (insect growth regulator targeting leafhopper nymphs),14,False,True,verified,mymrl.doa.gov.my/AIs/18
paddy,sheath_blight,hexaconazole,Anvil 5SC,1 mL per litre water (approximately 1.0 L product per hectare),foliar spray,14,False,True,verified,mymrl.doa.gov.my/AIs/75
paddy,sheath_blight,validamycin A,Validacin 3L,2-3 mL per litre water (approximately 1.5 L product per hectare),foliar spray,14,False,False,unverified,
rubber,pink_disease,Tridemorph,Calixin 750 EC,"Applied as a paint over the lesion plus ~15 cm of healthy bark on each side, undiluted or diluted 1:1 with water (best-estimate; verify against current product label)",bark paint / band application by brush,,False,False,not_applicable,
rubber,pink_disease,Copper oxychloride,Cobox 50 WP,Mixed into a thick paste (approx. 1 part 50% WP to 1 part water) and painted on scraped lesions; for cobweb-stage spraying use 3g per litre water (best-estimate; verify against current product label),bark paint on lesions / foliar spray for early cobweb stage,,False,False,not_applicable,
rubber,powdery_mildew,"Sulphur (elemental, finely ground)",,"11 kg fine sulphur dust (325 mesh, ~99% S) per hectare per round",dusting (ground duster or aerial application),,False,False,not_applicable,
rubber,powdery_mildew,Wettable sulphur (sulphur 80% WG),Kumulus DF,"3–5 g per litre water, high-volume foliar spray",foliar spray,,False,False,not_applicable,
rubber,south_american_leaf_blight,Mancozeb,Dithane M-45,2g per litre water as protective foliar spray,foliar spray,14,False,False,not_applicable,
rubber,south_american_leaf_blight,Triadimefon,Bayleton 25WP,0.5g per litre water,foliar spray,21,False,False,not_applicable,
tomato,bacterial_canker,Copper hydroxide,Kocide 3000,1.5g per litre water,foliar spray,1,False,False,unverified,APVMA/US EPA foreign label (not a Malaysian DOA source)
tomato,bacterial_canker,Copper oxychloride,Cupravit OB 21,3g per litre water,foliar spray,1,False,False,unverified,APVMA/US EPA foreign label (not a Malaysian DOA source)
tomato,early_blight,Mancozeb,Dithane M-45 (80% WP),2.5 g per litre water,foliar spray,7,False,False,unverified,
tomato,early_blight,Chlorothalonil,Daconil 500 SC,2 ml per litre water,foliar spray,7,False,True,verified,mymrl.doa.gov.my/AIs/28
tomato,late_blight,mancozeb,Dithane M-45,2.0 g per litre air (kira-kira 1.6-2.0 kg per hektar),foliar spray,7,False,False,unverified,
tomato,late_blight,metalaxyl-M + mancozeb,Ridomil Gold MZ,2.5 g per litre air (kira-kira 2.0-2.5 kg per hektar),foliar spray,7,False,False,unverified,
tomato,tomato_yellow_leaf_curl,imidacloprid,Confidor 200 SL,0.5 ml per litre water,foliar spray,7,False,True,verified,mymrl.doa.gov.my/AIs/79
tomato,tomato_yellow_leaf_curl,thiamethoxam,Actara 25 WG,0.2 g per litre water,foliar spray,3,False,True,verified,mymrl.doa.gov.my/AIs/115
